name,id,address,date,kWh,public_url,installationDate,uid
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 10:00,2.033,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 10:00:00
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 11:00,3.914,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 12:00,4.477,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 13:00,2.638,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 14:00,4.189,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 14:00:00
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 15:00,1.605,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,25/11/2017 16:00,0.103,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-25 16:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 8:00,0.183,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 9:00,0.887,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 09:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 10:00,1.316,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 10:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 11:00,4.361,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 12:00,4.669,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 13:00,4.479,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 14:00,2.418,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 14:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 15:00,1.562,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,26/11/2017 16:00,0.091,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-26 16:00:00
Telus Spark,594148,220 ST GEORGES DR NE,27/11/2017 8:00,0.345,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-27 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,27/11/2017 11:00,4.189,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-27 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,27/11/2017 12:00,6.928,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-27 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,27/11/2017 15:00,0.746,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-27 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,27/11/2017 16:00,0.101,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-27 16:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 8:00,0.24,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 9:00,1.338,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 09:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 10:00,2.99,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 10:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 11:00,4.436,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 12:00,4.35,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 13:00,4.405,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 14:00,4.136,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 14:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 15:00,2.076,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,28/11/2017 16:00,0.166,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-28 16:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 8:00,0.206,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 9:00,1.212,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 09:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 10:00,1.158,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 10:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 11:00,2.711,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 12:00,4.479,https://monitoring.solaredge.com/solaredge-web/p/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 13:00,3.82,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 14:00,3.539,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 14:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 15:00,4.855,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,29/11/2017 16:00,0.448,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-11-29 16:00:00
